image_name,point_0_x,point_0_x,point_0_conf,point_1_x,point_1_x,point_1_conf,point_2_x,point_2_x,point_2_conf,point_3_x,point_3_x,point_3_conf,point_4_x,point_4_x,point_4_conf,point_5_x,point_5_x,point_5_conf,point_6_x,point_6_x,point_6_conf,point_7_x,point_7_x,point_7_conf,point_8_x,point_8_x,point_8_conf,point_9_x,point_9_x,point_9_conf,point_10_x,point_10_x,point_10_conf,point_11_x,point_11_x,point_11_conf,point_12_x,point_12_x,point_12_conf,point_13_x,point_13_x,point_13_conf,point_14_x,point_14_x,point_14_conf,point_15_x,point_15_x,point_15_conf,point_16_x,point_16_x,point_16_conf,point_17_x,point_17_x,point_17_conf,point_18_x,point_18_x,point_18_conf,point_19_x,point_19_x,point_19_conf,point_20_x,point_20_x,point_20_conf
palm_10_keypoints,1021.2,4278.74,0.461234,1257.95,4064.18,0.655625,1457.7,3812.64,0.71863,1546.48,3538.9,0.87817,1635.26,3339.15,0.802844,1287.54,3479.72,0.874184,1250.55,3191.18,0.825736,1220.96,3006.22,0.79181,1191.36,2821.26,0.846163,1117.38,3472.32,0.815534,1072.99,3131.99,0.898215,1043.4,2932.24,0.852846,1013.8,2747.28,0.813067,954.615,3494.51,0.727209,917.623,3191.18,0.820642,895.428,3006.22,0.760954,888.03,2828.66,0.891913,777.055,3553.7,0.818172,769.657,3309.55,0.755482,762.258,3176.38,0.759485,769.657,3028.42,0.805843
palm_110_keypoints,1111.7,4541.21,0.69525,1236.65,4367.66,0.89263,1368.55,4159.4,0.78233,1403.26,3944.2,0.821259,1507.39,3763.71,0.945243,1174.18,3971.97,0.846205,1111.7,3680.4,0.846335,1042.28,3492.97,0.823087,945.093,3340.25,0.812017,1007.57,3985.85,0.916284,931.209,3694.29,0.719362,840.963,3472.15,0.860965,757.66,3284.71,0.791405,882.615,4034.44,0.836581,785.428,3756.77,0.906944,722.95,3576.28,0.906299,667.415,3381.9,0.967919,764.602,4110.81,0.81805,632.705,3916.43,0.841922,577.169,3770.65,0.748844,549.402,3631.81,0.834988
palm_111_keypoints,1154.58,4526.7,0.66773,1290.15,4336.91,0.868807,1405.38,4153.89,0.864858,1459.61,3923.43,0.866918,1568.06,3740.41,0.881329,1235.92,3943.76,0.898882,1161.36,3665.85,0.853441,1086.8,3496.39,0.868378,1005.46,3333.71,0.815874,1073.24,3970.88,0.828563,971.568,3665.85,0.71014,890.228,3448.95,0.805875,808.888,3279.49,0.869451,924.119,4004.77,0.792164,849.558,3726.86,0.879774,774.996,3557.4,0.852006,727.548,3360.83,0.888002,808.888,4092.89,0.852461,693.656,3882.76,0.880334,639.429,3753.97,0.786056,591.981,3611.63,0.936098
palm_112_keypoints,1105.18,4521.69,0.656197,1194.28,4261.25,0.67545,1283.37,4041.94,0.817878,1283.37,3822.62,0.879084,1283.37,3623.87,0.871076,1029.79,3898.01,0.774554,1016.08,3651.28,0.872044,1002.38,3486.8,0.805169,974.962,3342.87,0.807409,954.401,3973.4,0.872801,892.719,3685.55,0.572033,892.719,3486.8,0.9215,844.744,3322.31,0.89808,892.719,4041.94,0.879408,796.768,3767.79,0.84393,783.061,3603.31,0.810574,748.793,3431.97,0.917905,851.597,4144.74,0.881599,776.208,3973.4,0.790934,728.232,3843.18,0.912587,693.964,3706.11,0.937841
palm_113_keypoints,1074.77,4471.54,0.704931,1195.09,4271.02,0.717788,1302.03,4070.5,0.821587,1335.45,3849.92,0.875392,1375.55,3642.72,0.89637,1074.77,3903.4,0.828405,1021.3,3649.4,0.919566,1001.25,3475.62,0.862483,934.41,3321.89,0.849915,927.726,3923.45,0.749793,867.57,3649.4,0.664136,827.466,3455.57,0.849585,760.626,3275.1,0.875289,847.518,4003.66,0.775048,747.258,3736.3,0.951783,693.786,3562.51,0.908511,640.314,3382.04,0.976505,767.31,4083.86,0.790347,667.05,3930.13,0.796107,593.526,3809.82,0.886304,546.738,3662.77,0.842972
palm_114_keypoints,1232,4454.38,0.700635,1393.52,4245.75,0.831568,1541.58,4077.5,0.779532,1622.35,3882.32,0.753089,1777.14,3761.18,0.872659,1306.03,3889.05,0.79902,1245.46,3606.39,0.88085,1211.81,3431.41,0.895204,1131.05,3269.89,0.808497,1151.24,3902.51,0.772752,1077.21,3606.39,0.719866,1023.37,3397.76,0.942453,962.796,3216.04,0.931891,1023.37,3956.36,0.760946,942.606,3680.42,0.88421,888.765,3498.71,0.887267,848.385,3323.73,0.94337,949.336,4050.58,0.798028,834.924,3868.86,0.857358,774.354,3754.45,0.818688,720.513,3599.66,0.858011
palm_115_keypoints,1132.03,4434.17,0.68156,1287.94,4237.59,0.827133,1443.85,4068.12,0.757588,1518.41,3864.76,0.818501,1674.32,3715.63,0.821788,1206.59,3864.76,0.8573,1145.58,3586.84,0.876585,1118.47,3410.59,0.832723,1043.9,3247.9,0.800912,1037.13,3871.54,0.810064,976.117,3586.84,0.679287,928.666,3376.7,0.958453,860.879,3200.45,0.886383,915.109,3932.55,0.786094,840.543,3654.62,0.932713,786.314,3478.38,0.926786,745.642,3288.57,0.910677,847.322,4034.23,0.811391,732.084,3857.98,0.834163,664.297,3729.19,0.807678,630.404,3586.84,0.898316
palm_116_keypoints,986.803,4517.3,0.473813,1143.65,4421.83,0.687161,1259.59,4258.16,0.75802,1368.7,4074.03,0.809883,1559.65,3978.55,0.847392,1198.21,3992.19,0.845245,1205.03,3705.77,0.914307,1184.57,3508,0.92885,1150.47,3323.87,0.887236,1041.36,3964.91,0.801308,1041.36,3610.29,0.705476,1041.36,3392.06,0.852578,1041.36,3214.75,0.912755,904.968,3964.91,0.778253,932.246,3617.11,0.808306,932.246,3439.8,0.717632,939.066,3276.13,0.839707,761.755,3985.37,0.860269,707.198,3760.32,0.862364,686.739,3603.47,0.859797,666.28,3453.44,0.859983
palm_117_keypoints,1345.13,4663.47,0.519033,1567.57,4589.32,0.614949,1797.43,4470.69,0.783777,1997.62,4300.15,0.851668,2234.89,4240.83,0.788577,1775.18,4151.86,0.779142,1953.13,3922,0.830078,2056.94,3766.3,0.93092,2123.67,3588.35,0.882316,1604.65,4070.3,0.853053,1760.35,3758.88,0.771769,1841.91,3580.93,0.845438,1901.23,3380.74,0.815657,1441.52,4055.47,0.818461,1515.67,3744.05,0.921484,1574.99,3551.27,0.96805,1641.72,3373.32,0.891916,1263.57,4092.54,0.754877,1219.08,3833.03,0.826847,1219.08,3677.32,0.888365,1226.5,3521.61,0.97614
palm_118_keypoints,1336.49,4658.66,0.658575,1555.47,4590.7,0.721452,1774.46,4462.33,0.812915,1985.89,4281.1,0.861849,2189.78,4220.69,0.844615,1744.25,4130.07,0.803082,1895.28,3873.33,0.86688,1993.44,3699.65,0.821712,2031.2,3518.42,0.842964,1578.13,4077.21,0.82999,1706.5,3760.06,0.67682,1789.56,3571.28,0.879276,1872.62,3367.4,0.843291,1404.45,4054.56,0.846615,1479.96,3744.96,0.948604,1540.37,3556.18,0.977312,1623.43,3359.85,0.875196,1238.32,4099.87,0.78049,1223.22,3835.57,0.821408,1223.22,3677,0.906844,1253.42,3510.87,0.922617
palm_119_keypoints,1339.12,4696.34,0.596347,1562.31,4617.15,0.73295,1799.91,4494.75,0.80192,1994.3,4314.75,0.885525,2224.69,4257.16,0.806288,1771.11,4163.56,0.841745,1936.7,3918.77,0.911398,2008.7,3745.97,0.909675,2059.1,3573.18,0.935681,1598.31,4105.96,0.873267,1727.91,3810.77,0.604462,1821.51,3601.98,0.815465,1886.3,3400.38,0.911033,1432.72,4091.56,0.908112,1504.72,3781.97,0.941322,1555.11,3587.58,0.993366,1634.31,3400.38,0.921453,1259.92,4134.76,0.832302,1252.72,3875.57,0.855656,1252.72,3709.97,0.894519,1259.92,3565.98,0.93815
palm_11_keypoints,1061.8,4280.26,0.442004,1295.76,4038.76,0.71347,1529.71,3804.81,0.735098,1620.27,3555.76,0.871953,1680.65,3321.81,0.860636,1310.85,3487.84,0.885327,1303.3,3148.23,0.861904,1258.02,2944.46,0.881548,1227.83,2748.25,0.828955,1122.18,3487.84,0.866376,1114.63,3095.4,0.851754,1076.9,2869,0.87171,1031.62,2642.59,0.808641,956.147,3495.39,0.780264,941.053,3148.23,0.772316,933.506,2944.46,0.867356,910.866,2748.25,0.835273,782.569,3548.21,0.838316,775.022,3268.98,0.861767,759.928,3125.59,0.834755,767.475,2952.01,0.854769
palm_120_keypoints,1312.94,4742.39,0.61195,1514.82,4634.24,0.757754,1731.12,4482.84,0.820309,1904.16,4288.17,0.926426,2106.03,4201.65,0.828586,1673.44,4180.02,0.893656,1759.96,3906.04,0.844223,1803.22,3718.58,0.872467,1803.22,3538.34,0.928875,1507.61,4129.55,0.858054,1594.13,3826.73,0.610518,1630.18,3610.44,0.983635,1673.44,3408.56,0.894825,1348.99,4115.13,0.805673,1406.67,3826.73,0.891797,1449.93,3632.07,0.975478,1507.61,3444.61,0.945215,1212,4165.6,0.881566,1197.58,3927.67,0.798877,1212,3769.05,0.88872,1226.42,3624.86,0.868843
palm_121_keypoints,1305.52,4757.2,0.602326,1500.01,4634.75,0.795824,1680.09,4461.87,0.763132,1831.36,4238.56,0.899597,2025.85,4123.31,0.871921,1608.06,4173.73,0.867146,1694.5,3871.19,0.898778,1730.52,3669.5,0.906495,1730.52,3503.82,0.897577,1435.18,4144.92,0.780058,1435.18,3777.55,0.886149,1391.96,3561.45,0.946588,1363.15,3374.16,0.918987,1262.3,4173.73,0.89618,1197.47,3842.38,0.927801,1147.05,3647.89,0.951014,1139.84,3438.99,0.892505,1096.62,4245.77,0.855125,988.573,4015.26,0.819679,923.743,3878.4,0.843304,873.32,3712.72,0.889084
palm_122_keypoints,1327.6,4778.49,0.574309,1542.35,4649.64,0.741077,1721.32,4470.67,0.806655,1857.33,4248.76,0.88685,2057.77,4134.22,0.897124,1613.94,4191.49,0.867501,1678.37,3862.2,0.906986,1699.84,3676.08,0.935,1664.05,3504.27,0.917093,1434.98,4177.17,0.784118,1442.14,3783.46,0.857975,1406.34,3568.7,0.872396,1370.55,3389.74,0.963849,1270.33,4191.49,0.818519,1205.9,3862.2,0.901433,1162.95,3668.92,0.954415,1141.48,3475.64,0.91475,1120,4277.39,0.788812,998.307,4034,0.797601,941.039,3897.99,0.811837,905.246,3733.35,0.893843
palm_123_keypoints,1306.96,4793.69,0.569152,1511.91,4661.94,0.735538,1687.58,4478.95,0.795276,1826.65,4259.36,0.896735,2031.6,4134.93,0.887663,1577.78,4193.48,0.868659,1636.34,3893.38,0.938168,1650.98,3695.75,0.851064,1629.02,3505.44,0.887461,1394.79,4178.84,0.803835,1402.11,3790.91,0.842888,1365.52,3593.28,0.87836,1336.24,3395.65,0.889411,1226.44,4193.48,0.833255,1167.89,3878.74,0.916456,1116.65,3673.79,0.981032,1102.01,3483.48,0.950108,1080.05,4274,0.783357,955.62,4039.77,0.79129,889.743,3900.7,0.842438,853.146,3739.67,0.84909
palm_124_keypoints,1265.23,4676.14,0.56995,1396.99,4500.47,0.76952,1514.1,4273.56,0.793761,1550.7,4024.7,0.823519,1682.45,3827.07,0.869109,1316.47,4032.02,0.820198,1272.55,3746.55,0.854752,1214,3563.56,0.91043,1111.52,3409.85,0.859219,1155.44,4083.25,0.804248,994.41,3739.23,0.844247,913.895,3541.6,0.857082,811.42,3365.93,1.00163,987.09,4171.09,0.846044,804.101,3892.95,0.96909,694.307,3717.27,0.918135,577.193,3526.97,0.906521,869.977,4288.2,0.833189,650.389,4127.17,0.829992,540.596,4010.06,0.823848,430.802,3885.63,0.896443
palm_125_keypoints,1343.59,4769.33,0.601351,1497.17,4593.8,0.780306,1614.19,4367.08,0.817419,1658.07,4125.73,0.830888,1789.72,3935.58,0.898903,1402.1,4133.05,0.86377,1365.53,3840.5,0.862426,1292.39,3657.66,0.918529,1211.94,3496.76,0.878689,1233.89,4184.24,0.860509,1102.24,3833.19,0.913587,1007.16,3635.72,0.821962,919.4,3467.51,0.970638,1094.93,4257.38,0.840805,904.773,3979.46,0.912691,795.069,3803.93,0.887954,692.678,3621.09,0.868979,970.595,4381.71,0.80558,765.814,4228.12,0.799746,656.11,4118.42,0.828137,553.72,3986.77,0.895215
palm_126_keypoints,1317,4729.05,0.603763,1465.6,4566.3,0.799577,1585.89,4339.87,0.791569,1677.88,4106.36,0.852255,1812.32,3936.54,0.906253,1416.07,4106.36,0.922744,1394.84,3823.32,0.880184,1345.31,3625.2,0.881912,1253.32,3469.52,0.855649,1246.24,4120.51,0.852511,1140.1,3780.87,0.859101,1062.27,3589.82,0.88842,963.202,3419.99,0.940197,1083.49,4191.27,0.791279,927.823,3894.08,0.879846,835.835,3724.26,0.919475,743.847,3547.36,0.918409,956.126,4297.41,0.818722,779.227,4127.59,0.761039,673.087,4007.3,0.853135,566.947,3894.08,0.934404
palm_127_keypoints,1238.47,4692.24,0.487773,1405.37,4605.45,0.692214,1565.6,4411.84,0.727614,1685.77,4198.21,0.841281,1886.06,4091.39,0.859825,1478.81,4138.12,0.822904,1572.28,3851.05,0.886288,1592.31,3670.79,0.922782,1578.95,3477.18,0.836675,1305.23,4098.06,0.850657,1358.64,3724.2,0.812436,1351.96,3510.56,0.935431,1331.94,3336.98,0.72414,1145,4104.74,0.826594,1131.65,3770.93,0.822849,1098.27,3570.65,0.858949,1098.27,3383.71,0.788518,984.776,4171.5,0.819685,871.281,3937.84,0.861136,811.195,3784.28,0.855909,764.462,3624.06,0.898493
palm_128_keypoints,1311.3,4742.21,0.498765,1483.29,4634.73,0.727661,1683.93,4441.25,0.71388,1855.91,4254.93,0.812346,2042.22,4183.27,0.875033,1655.27,4154.61,0.862018,1784.25,3910.97,0.80364,1841.58,3753.32,0.760042,1884.57,3588.51,0.847866,1483.29,4118.78,0.798904,1576.44,3774.82,0.741952,1597.94,3559.84,0.901001,1626.6,3373.53,0.854444,1318.47,4111.62,0.786902,1347.13,3781.99,0.914025,1354.3,3574.17,0.892382,1368.63,3387.86,0.876016,1146.49,4147.45,0.810359,1082,3903.81,0.846826,1074.83,3738.99,0.92252,1067.66,3602.84,0.889102
palm_129_keypoints,1301.91,4738.43,0.531461,1505.73,4643.8,0.676384,1687.71,4490.94,0.767207,1869.69,4338.07,0.833509,2088.07,4294.4,0.849919,1687.71,4199.77,0.874124,1855.13,3988.67,0.850451,1935.21,3850.37,0.866531,1978.88,3704.78,0.859044,1513.01,4141.54,0.834981,1636.76,3828.53,0.693205,1702.27,3631.99,0.818432,1745.95,3435.45,0.931713,1345.59,4126.98,0.81964,1396.54,3799.41,0.950292,1432.94,3602.87,0.994567,1476.61,3420.89,0.864732,1185.44,4177.93,0.777649,1134.49,3923.16,0.777719,1112.65,3770.29,0.849658,1112.65,3602.87,0.969921
palm_12_keypoints,1103.84,4299.13,0.544668,1352.05,4096.05,0.716502,1540.09,3877.92,0.65967,1615.3,3629.72,0.818624,1555.13,3419.11,0.805373,1367.1,3546.98,0.782736,1359.57,3231.08,0.789228,1352.05,3028,0.892672,1329.49,2824.92,0.846148,1201.62,3524.42,0.803973,1186.58,3155.86,0.846282,1171.54,2937.74,0.896416,1148.97,2719.62,0.809853,1043.67,3562.02,0.835928,1028.63,3216.03,0.815676,1028.63,3012.96,0.82089,1021.11,2809.88,0.807715,863.156,3607.15,0.867355,863.156,3336.38,0.826258,855.635,3178.43,0.820356,870.678,3012.96,0.83578
palm_130_keypoints,1432.03,4742.54,0.515817,1642.99,4669.8,0.58873,1832.13,4509.75,0.773776,1999.45,4320.61,0.90867,2217.69,4240.59,0.81263,1766.66,4196.94,0.837013,1890.33,3927.78,0.878801,1948.53,3753.19,0.841253,1999.45,3571.32,0.931465,1592.07,4153.3,0.842576,1693.92,3796.84,0.778228,1715.74,3578.6,0.91427,1759.39,3389.46,0.908927,1417.48,4153.3,0.86707,1439.3,3811.39,0.877521,1461.13,3614.97,0.886739,1475.68,3411.28,0.92869,1242.89,4204.22,0.840204,1170.14,3942.33,0.823078,1126.49,3796.84,0.831522,1119.22,3629.52,0.93094
palm_131_keypoints,1505.57,4406.15,0.594709,1727.85,4255.57,0.738138,1921.45,4076.32,0.759102,2072.02,3854.04,0.868791,2236.94,3732.15,0.873277,1871.26,3789.51,0.87456,1914.28,3509.87,0.922202,1921.45,3301.93,0.875108,1907.11,3108.34,0.94286,1713.51,3746.49,0.829434,1742.19,3445.34,0.812071,1778.04,3194.38,0.831031,1778.04,2986.44,0.916103,1562.93,3739.32,0.875686,1613.13,3445.34,0.80969,1634.64,3237.4,0.772847,1670.49,3043.8,0.807654,1433.87,3768,0.851212,1448.21,3517.04,0.954575,1469.72,3380.81,0.821061,1519.91,3223.06,0.868697
palm_132_keypoints,1471.51,4371.22,0.631222,1686.8,4222.74,0.698276,1872.4,4037.14,0.776958,1998.61,3814.42,0.889212,2169.36,3658.52,0.834185,1820.43,3755.03,0.914532,1835.28,3465.5,0.91492,1827.86,3250.2,0.845993,1805.58,3049.76,0.886784,1649.68,3710.49,0.927214,1649.68,3391.26,0.814845,1657.1,3146.27,0.838563,1649.68,2923.55,0.950591,1486.35,3710.49,0.818819,1523.47,3406.11,0.843863,1530.9,3198.24,0.780392,1545.75,2990.36,0.769952,1352.72,3755.03,0.950759,1352.72,3502.62,0.899239,1367.57,3346.72,0.849269,1412.11,3198.24,0.860787
palm_133_keypoints,1442.34,4421.26,0.588979,1648.99,4273.65,0.6379,1789.22,4052.23,0.678065,1914.69,3852.96,0.794238,2091.82,3742.26,0.883469,1774.46,3757.02,0.943143,1803.98,3461.8,0.870989,1796.6,3277.29,0.904482,1774.46,3070.64,0.888751,1604.71,3749.64,0.900024,1634.23,3410.14,0.777685,1634.23,3159.2,0.816552,1619.47,2937.79,0.866084,1457.1,3749.64,0.821757,1486.62,3432.28,0.802512,1494,3225.63,0.816939,1516.14,3018.98,0.762699,1309.49,3771.78,0.863752,1309.49,3520.84,0.935464,1316.87,3365.86,0.847075,1361.16,3218.25,0.887502
palm_134_keypoints,1454.04,4413.76,0.631036,1676.21,4265.65,0.726089,1861.36,4065.69,0.768832,2024.28,3843.51,0.864395,2179.81,3702.8,0.842581,1779.89,3806.48,0.861929,1846.54,3488.03,0.877776,1853.95,3288.07,0.949544,1831.73,3095.52,0.881461,1624.37,3762.05,0.924379,1676.21,3428.79,0.691765,1683.62,3169.58,0.93953,1691.02,2962.22,0.888453,1461.44,3762.05,0.828122,1498.47,3451,0.919301,1513.28,3228.83,0.965709,1557.72,3028.87,0.903444,1320.73,3806.48,0.915239,1305.92,3525.06,0.856101,1313.32,3376.94,0.844927,1328.14,3221.42,0.895207
palm_135_keypoints,1434.06,4365.31,0.622509,1637.38,4218.08,0.747869,1826.68,4042.8,0.796151,1931.85,3783.39,0.888865,2008.97,3559.04,0.828208,1770.6,3748.33,0.853725,1819.67,3432.84,0.94733,1826.68,3236.52,0.926365,1812.66,3033.2,0.891867,1602.33,3713.28,0.891689,1651.41,3341.69,0.666125,1658.42,3117.34,1.01663,1658.42,2907,0.856687,1448.09,3713.28,0.763078,1476.13,3376.75,0.933419,1490.15,3166.41,0.93237,1539.23,2977.11,0.896612,1293.84,3755.35,0.802704,1265.8,3481.91,0.854806,1265.8,3320.66,0.884004,1286.83,3152.39,0.823271
palm_136_keypoints,1365.46,4383.8,0.62902,1583.11,4224.19,0.728076,1793.5,4028.31,0.738634,1938.6,3810.66,0.86122,2119.97,3694.58,0.822415,1699.19,3752.62,0.880071,1764.48,3447.91,0.892889,1778.99,3223.01,0.874068,1771.74,3027.13,0.851565,1532.33,3738.11,0.864798,1590.37,3339.09,0.782418,1590.37,3106.93,1.03712,1590.37,2889.29,0.878744,1372.72,3730.86,0.779124,1394.48,3382.62,0.887944,1401.74,3164.97,0.93992,1423.5,2954.58,0.820917,1220.37,3752.62,0.817876,1176.84,3484.19,0.822492,1176.84,3324.58,0.831052,1176.84,3157.72,0.899679
palm_137_keypoints,1390.21,4383.95,0.614281,1615.17,4246.07,0.658096,1811.11,4042.88,0.695181,1956.24,3817.91,0.858806,2123.15,3680.03,0.834704,1724.02,3767.12,0.89289,1789.34,3455.07,0.919818,1796.59,3259.14,0.856475,1789.34,3048.69,0.885558,1557.12,3738.09,0.903434,1615.17,3375.25,0.628461,1629.69,3143.03,0.932844,1629.69,2918.07,0.867905,1411.98,3738.09,0.781858,1441.01,3397.02,0.940598,1462.78,3179.31,0.899866,1499.06,2983.38,0.869148,1259.59,3752.6,0.863182,1237.82,3505.87,0.819731,1237.82,3331.71,0.860097,1259.59,3164.8,0.859493
